epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8292.91,1.01485,0.43614,1.02376,0.99371,0.9946,0.99425,0.74294,1.02358,0.37025,1.01897,0.005842,0.005842,0.005842
44,8407.33,1.00175,0.43106,1.01523,0.99459,0.99222,0.99396,0.73956,1.03539,0.37426,1.02076,0.005743,0.005743,0.005743
45,8507.58,1.00815,0.43422,1.02302,0.9952,0.99404,0.99422,0.74543,1.03555,0.37013,1.02572,0.005644,0.005644,0.005644
46,8607.15,1.01042,0.43073,1.02007,0.99579,0.99281,0.99442,0.73692,1.03243,0.3705,1.02209,0.005545,0.005545,0.005545
47,8707.34,1.00179,0.43007,1.01918,0.99519,0.99375,0.99418,0.7471,1.03085,0.36696,1.02176,0.005446,0.005446,0.005446
48,8807.69,1.00072,0.4249,1.02062,0.99428,0.994,0.99448,0.75128,1.01974,0.36364,1.0172,0.005347,0.005347,0.005347
49,8907.71,0.98856,0.42382,1.01588,0.994,0.99339,0.99421,0.74997,1.02349,0.35906,1.01402,0.005248,0.005248,0.005248
50,9007.68,0.99634,0.42005,1.01717,0.99547,0.9934,0.99475,0.75326,1.01976,0.3616,1.01603,0.005149,0.005149,0.005149
51,9107.79,0.98876,0.41935,1.01106,0.9938,0.9916,0.99448,0.74586,1.03312,0.36392,1.0195,0.00505,0.00505,0.00505
52,9207.86,0.98665,0.41436,1.01731,0.9934,0.99323,0.99364,0.75123,1.02095,0.35351,1.01682,0.004951,0.004951,0.004951
53,9304.55,0.99132,0.41672,1.0142,0.99373,0.9946,0.99424,0.74716,1.02287,0.35421,1.01577,0.004852,0.004852,0.004852
54,9403.66,0.99568,0.41489,1.01036,0.99518,0.99118,0.99383,0.74206,1.04492,0.36261,1.02462,0.004753,0.004753,0.004753
55,9497.47,0.97775,0.4126,1.00641,0.99462,0.9922,0.99441,0.74546,1.02484,0.35675,1.01825,0.004654,0.004654,0.004654
56,9596.57,0.98194,0.40832,1.01297,0.99627,0.9946,0.9945,0.7497,1.02735,0.35051,1.01576,0.004555,0.004555,0.004555
57,9696.13,0.98156,0.40587,1.01054,0.99402,0.99678,0.99399,0.75233,1.02152,0.34884,1.01345,0.004456,0.004456,0.004456
58,9795.06,0.9858,0.40842,1.01343,0.9961,0.9952,0.99453,0.74915,1.02883,0.35258,1.01858,0.004357,0.004357,0.004357
59,9893.1,0.97771,0.40935,1.01202,0.9952,0.99448,0.99379,0.74638,1.0306,0.35158,1.02273,0.004258,0.004258,0.004258
60,9993.14,0.97632,0.40293,1.00645,0.99519,0.99335,0.99433,0.74724,1.04005,0.3524,1.02422,0.004159,0.004159,0.004159
61,10092.7,0.97069,0.40085,1.00734,0.99657,0.9946,0.9944,0.75097,1.02007,0.34667,1.01573,0.00406,0.00406,0.00406
62,10193.4,0.97289,0.39988,1.00965,0.9959,0.9934,0.9941,0.75128,1.02773,0.34623,1.01849,0.003961,0.003961,0.003961
63,10293.6,0.96706,0.3985,1.00601,0.99582,0.9946,0.99445,0.74975,1.03153,0.34365,1.02313,0.003862,0.003862,0.003862
64,10393.9,0.96667,0.39591,1.0059,0.99699,0.99487,0.99451,0.74991,1.03059,0.34274,1.01633,0.003763,0.003763,0.003763
65,10488.2,0.96484,0.39492,1.00268,0.99655,0.994,0.99413,0.75449,1.02454,0.33946,1.01327,0.003664,0.003664,0.003664
66,10588.8,0.96317,0.39667,1.00583,0.99819,0.99485,0.99452,0.74983,1.02912,0.33988,1.01908,0.003565,0.003565,0.003565
67,10689.6,0.96199,0.39204,1.00524,0.99461,0.99589,0.9945,0.7537,1.0208,0.33897,1.01399,0.003466,0.003466,0.003466
68,10791,0.95677,0.39169,0.99819,0.99448,0.9922,0.99341,0.75036,1.02258,0.33732,1.01327,0.003367,0.003367,0.003367
69,10891.5,0.95691,0.39164,1.00285,0.99402,0.99679,0.99456,0.7508,1.02388,0.33773,1.0133,0.003268,0.003268,0.003268
70,10993.6,0.95796,0.38849,1.0027,0.9934,0.99378,0.99422,0.7541,1.0204,0.3354,1.01347,0.003169,0.003169,0.003169
71,11094.3,0.94691,0.38174,0.99384,0.99769,0.9946,0.99442,0.75411,1.02118,0.33506,1.01114,0.00307,0.00307,0.00307
72,11194.6,0.95006,0.3827,0.99758,0.9958,0.99521,0.99444,0.75399,1.02274,0.33274,1.01117,0.002971,0.002971,0.002971
73,11295,0.9507,0.38203,1.00013,0.99559,0.9958,0.99439,0.75269,1.02512,0.33204,1.01193,0.002872,0.002872,0.002872
74,11396.2,0.94367,0.37929,0.99847,0.9952,0.99558,0.99427,0.75405,1.02211,0.33105,1.01435,0.002773,0.002773,0.002773
75,11498.8,0.94623,0.37881,0.99645,0.99681,0.9928,0.99438,0.75045,1.02328,0.33093,1.01289,0.002674,0.002674,0.002674
76,11607.5,0.94977,0.38048,0.99739,0.9958,0.99511,0.99424,0.75388,1.02673,0.32986,1.01124,0.002575,0.002575,0.002575
77,11708.8,0.93346,0.37439,0.99361,0.99529,0.9958,0.99428,0.75389,1.02551,0.33093,1.01062,0.002476,0.002476,0.002476
78,11807.7,0.93152,0.36835,0.98892,0.99461,0.9961,0.99421,0.75245,1.02276,0.32847,1.01037,0.002377,0.002377,0.002377
79,11907,0.93265,0.37253,0.99659,0.9944,0.997,0.99431,0.7533,1.02612,0.33028,1.01448,0.002278,0.002278,0.002278
80,11999,0.93343,0.3708,0.99565,0.99338,0.9964,0.99445,0.75311,1.02408,0.32865,1.01433,0.002179,0.002179,0.002179
81,12094.9,0.93118,0.36926,0.99075,0.9946,0.99506,0.99449,0.75497,1.02199,0.32618,1.01305,0.00208,0.00208,0.00208
82,12192.6,0.92702,0.36455,0.98746,0.99437,0.9964,0.99444,0.756,1.02553,0.32786,1.0108,0.001981,0.001981,0.001981
83,12298.5,0.9218,0.36338,0.98248,0.99438,0.9964,0.99447,0.75618,1.02618,0.32596,1.00963,0.001882,0.001882,0.001882
84,12406.5,0.91833,0.36291,0.98933,0.9952,0.99575,0.99477,0.75542,1.02791,0.32729,1.0128,0.001783,0.001783,0.001783
85,12513.6,0.9222,0.36228,0.98871,0.99534,0.9946,0.99488,0.75424,1.03261,0.32587,1.01434,0.001684,0.001684,0.001684
86,12625.5,0.91647,0.35725,0.98722,0.99342,0.99589,0.99464,0.75628,1.03015,0.3254,1.01393,0.001585,0.001585,0.001585
